"1","50","51","175","972"
"2","50","52","175","972"
"3","50","53","235","1258"
"4","50","54","171","936"
"5","50","55","120","666"
"6","50","56","117","561"
"7","50","57","117","561"
"8","50","58","203","1443"
"9","50","59","423","2936"
"10","50","60","327","2215"
"11","50","61","327","2215"
"12","50","62","312","1812"
"13","50","63","312","1812"
"14","50","64","318","1902"
"15","50","65","711","4876"
"16","50","66","871","5954"
"17","50","67","852","5878"
"18","50","68","812","5515"
"19","50","69","810","5551"
"20","50","70","810","5551"
"21","50","71","1130","7787"
"22","50","72","1130","7787"
"23","50","73","1026","7014"
"24","50","74","1033","6916"
"25","50","75","1016","6868"
"26","50","76","1016","6868"
"27","50","77","1008","6767"
"28","50","78","919","6434"
"29","50","79","551","4005"
"30","50","80","507","3835"
"31","50","81","495","3761"
"32","50","82","495","3761"
"33","50","83","3906","49464"
"34","50","84","743","5786"
"35","50","85","775","6272"
"36","50","86","646","4109"
"37","50","87","646","4109"
"38","50","88","758","6124"
"39","50","89","758","6124"
"40","50","90","664","3833"
"41","51","51","0","0"
"42","51","52","0","0"
"43","51","53","59","285"
"44","51","54","22","76"
"45","51","55","84","424"
"46","51","56","164","1184"
"47","51","57","164","1184"
"48","51","58","144","987"
"49","51","59","401","2841"
"50","51","60","318","2059"
"51","51","61","318","2059"
"52","51","62","137","840"
"53","51","63","137","840"
"54","51","64","198","1310"
"55","51","65","766","5253"
"56","51","66","926","6331"
"57","51","67","907","6255"
"58","51","68","867","5893"
"59","51","69","865","5929"
"60","51","70","865","5929"
"61","51","71","1185","8164"
"62","51","72","1185","8164"
"63","51","73","1081","7391"
"64","51","74","1087","7294"
"65","51","75","1071","7246"
"66","51","76","1071","7246"
"67","51","77","1062","7145"
"68","51","78","973","6811"
"69","51","79","518","3681"
"70","51","80","474","3511"
"71","51","81","462","3437"
"72","51","82","462","3437"
"73","51","83","3936","50012"
"74","51","84","686","4704"
"75","51","85","686","4810"
"76","51","86","470","3137"
"77","51","87","470","3137"
"78","51","88","593","3752"
"79","51","89","593","3752"
"80","51","90","488","2861"
"81","52","51","0","0"
"82","52","52","0","0"
"83","52","53","59","285"
"84","52","54","22","76"
"85","52","55","84","424"
"86","52","56","164","1184"
"87","52","57","164","1184"
"88","52","58","144","987"
"89","52","59","401","2841"
"90","52","60","318","2059"
"91","52","61","318","2059"
"92","52","62","137","840"
"93","52","63","137","840"
"94","52","64","198","1310"
"95","52","65","766","5253"
"96","52","66","926","6331"
"97","52","67","907","6255"
"98","52","68","867","5893"
"99","52","69","865","5929"
"100","52","70","865","5929"
"101","52","71","1185","8164"
"102","52","72","1185","8164"
"103","52","73","1081","7391"
"104","52","74","1087","7294"
"105","52","75","1071","7246"
"106","52","76","1071","7246"
"107","52","77","1062","7145"
"108","52","78","973","6811"
"109","52","79","518","3681"
"110","52","80","474","3511"
"111","52","81","462","3437"
"112","52","82","462","3437"
"113","52","83","3936","50012"
"114","52","84","686","4704"
"115","52","85","686","4810"
"116","52","86","470","3137"
"117","52","87","470","3137"
"118","52","88","593","3752"
"119","52","89","593","3752"
"120","52","90","488","2861"
"121","53","51","88","585"
"122","53","52","88","585"
"123","53","53","0","0"
"124","53","54","83","549"
"125","53","55","107","726"
"126","53","56","192","1484"
"127","53","57","192","1484"
"128","53","58","178","1323"
"129","53","59","342","2555"
"130","53","60","259","1774"
"131","53","61","259","1774"
"132","53","62","77","555"
"133","53","63","77","555"
